# 简拼索引（自动生成，改词库后重跑 scripts/gen-jianpin-index.py）
# 格式：编码	词	权重
bbql	八八七〇	100
bbql	八八七六	100
bbql	跛鳖千里	100
bbql	背不起来	75
bbql	摆不起来	15
bbql	裨补阙漏	1
bbql	扁鼻强龙	1
bbqln	八八七〇年	100
bbqln	八八七六年	100
bbqlsh	扁鼻强龙属	1
bbqm	背本趋末	1665
bbqn	爸爸去哪	100
bbqnl	爸爸去哪了	100
bbqq	彪炳千秋	600
bbqq	八八七七	100
bbqq	抱抱亲亲	100
bbqq	悲悲戚戚	100
bbqqn	八八七七年	100
bbqs	八八七三	100
bbqs	八八七四	100
bbqsh	八百七十	575
bbqsh	保不齐是	100
bbqsh	抱表寝绳	1
bbqshb	八百七十八	35
bbqshj	八百七十九	60
bbqshl	八百七十六	30
bbqshq	八百七十七	20
bbqshs	八百七十三	20
bbqshs	八百七十四	10
bbqshw	八百七十万	50
bbqshw	八百七十五	40
bbqshy	八百七十一	25
bbqsn	八八七三年	100
bbqsn	八八七四年	100
bbqsr	被不起诉人	1265
bbqt	拔不起腿	3
bbqw	八八七五	100
bbqw	不变其文	61
bbqwn	八八七五年	100
bbqxchch	白边球胸长蝽	1
bbqxf	八宝青蟹饭	1
bbqy	八八七一	100
bbqy	不避强御	4
bbqy	白璧青蝇	1
bbqy	闭壁清野	1
bbqyn	八八七一年	100
bbqzh	版本前瞻	131
bbqzh	宝贝权重	100
bbr	比别人	56135
bbr	被别人	50630
bbr	把别人	14615
bbr	帮别人	8325
bbr	不包容	174
bbr	八百人	102
bbr	粑粑人	100
bbr	粑粑肉	100
bbr	并不如	100
bbr	梆梆肉	30
bbr	半边人	14
bbr	棒棒肉	12
bbr	蚌埠人	11
bbrb	蚌埠日报	1
